,text,label
0, close to a full length movie . ,0
1," long-winded in the movie , and its characters are so slow , the plot is so much slower . ",0
2, short and so bad that it can easily end up on the wrong page . ,0
3, long that one can't find it once ,0
4, the same clichés that most moviegoers would expect . ,0
5," a harking to his early childhood experiences as a kid , but ",0
6, a novel for the audience's sake to see . ,0
7, a bit of the same old classic and a lot of the best-wanted comedy . ,0
8," no reason that i would want it to be boring , but the idea of an original movie like this seems more than that",0
9, an awful lot of bad intentions that go into it . .,0
10, an unmitigated joy in watching the story unfold from around the house. If is a story about a girl,0
11," a reason why girls are never given any of these ""arties"" . ",0
12," may be more ambitious than their predecessors , so it's understandable that a lot of writers who live up to their promise may",0
13,o have done something . . ,0
14,o don't make this film or any of the film's more memorable pieces . ,0
15,is have a better sense of humour than any of our other co-directors . ,0
16," to make sure it does its job . [u]nrelentingly stupid , but just because it's",0
17, come off its script . ,0
18, many little lines to carry about other than the film ' . ,0
19," a lot of action and suspense that would make it hard for the viewer to see a single word of good , but rather",0
20,"aways , with some of their best friends and classmates ronnie , ryan , and other students and teachers struggling with",0
21,-of-the-mill movie flicks and baddies . a story of a man-made family who,0
22,aways of teenage angst and disappointment as it has become the sort of thing that's required to make such a film even more,0
23,"-of-the-mill images , but a lot of its subjects in a world where the film's themes are rather",0
24, performances but it's the same kind of thing as a movie . maddeningly disappointing picture . ,0
25, of action to add to the story . is an odd-ball . . . story that is,0
26,-up . feels like you're on a high plane . . the whole thing is just silly . . ,0
27,manship to make its stand out . . . or even a touch of humor . . . . as a comedy no one,0
28," is an artfully produced film , so that it has no emotional or practical impact on the quality of an otherwise well",0
29, houston may be on,0
30, is a film that feels a bit over-emphas,0
31, in the air . I'll add on this post if there's a reason it's so bad that it's not worth,0
32, in heels. . ,0
33, fetish to make his films as difficult as he can stand for his own children's cartoons . ,0
34,-on-the-ground attitude that's far more than charmingly romantic in its premise . ,0
35," humor and melodrama , but it's not a disaster at all - it's . ",0
36, movie- and film-maker tropes - and a few memorable moments in the film don't end well enough this time around,0
37," actors , writing , acting and movie writing . ",0
38," the film's wacky humor and snobly humour has made the film a very good movie , and has made viewers",0
39, it comes to the film . ,0
40," it gets to the end . . that was a particularly dark and emotionally ill , but that only highlights what the filmmakers love",0
41, their production doesn't work as usual . 귀 감 감,0
42, the film is shot in a crowded setting . . in contrast to the slowest hour in my career . an awful lot,0
43, any long-running film. ,0
44, the film. ,0
45," a movie . "" the title says so . ",0
46, making it fun . ,0
47," of the world on hold . it might not have become so good in its comedy-ish guise ,",0
48, into the action and doesn't seem to have any good plot . ,0
49, of some of the best bits but ends up more frustrating than most other bits . ,0
50, in a way that it may not have done before . is like the last thing this movie gets,0
51," film that has not only been a flimsy movie as well , but has been the subject of over-all suspicion since",0
52," tale . f , ",0
53, slog . if a film needs its director ,0
54," but enjoyable film . that's not the first movie made as the director , but rather a little more of",0
55, a few months ago the story became a makings of an excellent novel -- a novel whose story gets a lot easier,0
56," ' ' ; you should look at one of my favorite books , which was not a bad movie but a farce .",0
57," . . . that's exactly what it isn't for an artist , like an artist who's . . .",0
58," the film on the level of melodrama in an attempt to make the rest of a movie worse , while his other",0
59, a lot of work to do here . [the voice] has the charm of being so self-,0
60, off his watch list . ,0
61, all of his effort and the humor in a bad movie . [director] is an extremely hard-nosed,0
62," michael hankton . . , all very, very strange in its way , but the whole thing is fun .",0
63," sissy , and so on -- it has a rich set of characters who come at no cost to their lives and the",0
64," waggle -- is a waste of money , but a film whose production's most-watched production has not paid",0
65," james , while acting like there are very few really good performers on the world stage, there is no sense of pleasure",0
66," really not. it is this sense of being just a 'singer', a",0
67, more concerned about the aesthetic than their own style . ,0
68, simply a bit too wackery and repetitive for a film audience to see . ************ ************ ************ ************,0
69, portrayed without all the nuance. That could easily be because the movie's characters are more fun to watch than it is the,0
70," but the film feels more like a good thing than a bad thing , if you're a bad person , i'll see",0
71, but it's worth it if you're in trouble . . . . . . . . . iced for a pretty,0
72, but it would be too risky to see any future movies that do it on the way . ,0
73, and that's fine . ,0
74, want ; or as hard to get anything off your feet . The only thing it's like to lose the plot for something,0
75," like , but is not like a .-per-capita thriller . ____ or a . ____",0
76, want it to be . . ____________ ____________ 한 한 ,0
77, can handle . nada can be scary if it,0
78," say . michael j. michael j. dankin says if he's ever seen it again , it",0
79, of those films . ,0
80," movie , but a mess of silly jokes about an empty ship trying to be as sexy as you thought it would be .",0
81, of the more original . ,0
82, con és és és és és és és donde a suo étére,0
83, de la cencura de não cio del iz que ser mias macerte o cera,0
84," , , so the film manages to draw the film's attention to its own plot and character rather than its own flaws .",0
85, de guerre un como cávez de la sundergrafía un ivexos y com,0
86," able to find , because it is a longshot and one-sided plot . ",0
87, as hard pressed to be . . ,0
88, as capable of accomplishing . ,0
89," sure he would accomplish , and he has no idea why . o w o",0
90," and a sense of humor , but it's not so easily oversold . a movie",0
91," , an unassuming yet over-the-top film . ",0
92, but the idea of a movie that the director loves gets old enough to drown in so many jokes . is just too,0
93, of gags that's sure to be rousingly funny . just a bad maisie . ,0
94,'s most gripping premise . it doesn't seem to have long been written about. ,0
95, of my childhood as a kid and not just because it's too dark . ,0
96, line . isn't it . seems like a movie that is almost a cliché . ,0
97,'s urgency to the point of having to do this . well it's a slow-paced and poorly paced film that,0
98,ta-horror than its predecessors. an iphonesome scene that's a bit more,0
99,ta's attention-grabbing performance . ------------------------- ------------------------- ------------------------- ------------------------- ------------------------,0
100,to in the movies . . . if you're watching a live performance you know exactly how to make a wacky movie,0
101,"t and muck or wank , so if you're a filmmaker who's made no effort to make an indie film",0
102, let me forget how fun the first movie is . ,0
103," call this movie a fairy tale , you never find it at all . like this if",0
104, you wanna go for what I'm about - to get a glimpse of the kind of character the actor's director has never,0
105, believe in what you're talking about . just look at the list of people who have been involved in movies of the,0
106, that's impossible to comprehend. [ the song is just a rousing and raucous riff,0
107, that‰ seems to suggest something as uninspired as its humor . ,0
108, that's inimical to the rest of us. ,0
109," that feels like a ""sociological mystery"", but that doesn't make more sense than the film's title suggests .",0
110, one to watch . doesn't make it any more than the film's,0
111, a thriller . does a great job of explaining that it's all about an individual's relationships and their personal lives,0
112, a well-thought out movie . ,0
113," the sort of one that has a lot to say ( and this isn't the most well received film of all time ,",0
114,o don't share the same script . . and there's no way to talk about how it works -- only to watch,0
115,ino also use good humor to make their movie . ,0
116,o have never used it . ,0
117,i do not fully realize how much work  can be done in writing with a screenplay which is . �,0
118," there's no funny dialogue to talk about it , you might have lost your patience . ",0
119," he were one to watch , he might be out . ",0
120," they find a lot to laugh about , she'll go to hell . ",0
121," you can't be on your way to a movie's most critical night , you've got to do something stupid and stupid",0
122," is how it goes , I'm at a very low risk of a crime movie !!! ",0
123," is the case , a book about a human being , this might end up ersing at least something else. ",0
124," sounds like a story told of a movie made all up of a wick-a-mole story , you'll",0
125," concept is real and its use is good enough , it can only be made in an art . ",0
126," has a few hiccups on that note , he is a very hardworking film maker . i have",0
127," , ive no sense of humour or even sense of humour . well on his '",0
128," is an exception to this rule , he's a genius . ",0
129, is so lazy he's so shallow that one would really appreciate a sense of humor . ,0
130,ive been trying for more than 20 years . a dark but very interesting one . ,0
131,ingly short film or even some movie's more obvious features don't make it an enjoyable movie . yet it's still,0
132," little filler for a long time . even if its production is a little bit too short , ",0
133, flop . ,0
134, waste in itself . . ,0
135, little bit of a gimmick . ,0
136," you'll ever see' ( , in a nutshell, because the movie ends that day with a lot of action sequences in",0
137, those who have followed its premise's script and the ending has not been written by a director that is particularly good at this,0
138," the ones I read , but I also don't want to live this dream of making something memorable and for which it's",0
139," the films and movies in particular , which makes for a little cliche . ",0
140," i don't care if you are a big fan of your movies , nor did you know that all of the characters you",0
141," this is a particularly poor movie that lacks any sense of humor , humor , or humor . so",0
142," as is , the cast's most dynamic character ips away at the beauty of the film . -------------- ",0
