,Unnamed: 0,idx,text,label
15133,14783,14783,"shows holmes has the screen presence to become a major-league leading lady , ( but ) the movie itself is an underachiever , a psychological mystery that takes its sweet time building to a climax that 's scarcely a surprise by the time it arrives ",1
7093,28749,28749,"are simply dazzling , particularly balk , who 's finally been given a part worthy of her considerable talents ",1
1718,26853,26853,who are enthusiastic about something and then ,1
14786,51317,51317,entertaining film ,1
566,60888,60888,", i 'll buy the soundtrack . ",1
10658,24007,24007,"holographic librarian ( orlando jones ) who knows everything and answers all questions , is visually smart , cleverly written , and nicely realized ",1
15407,39971,39971,adaptation 's success in engaging the audience in the travails of creating a screenplay is extraordinary . ,1
323,43475,43475,have thought possible ,1
13664,64265,64265,leigh makes these lives count . ,1
30329,8148,8148,futuristic sets ,1
3230,23689,23689,many subplots ,1
23461,25881,25881,a tone of rueful compassion ... ,1
17574,64705,64705,a strict reality ,1
13431,24724,24724,haunting tale ,1
7224,59600,59600,and narrative grace ,1
28679,10596,10596,to the divine calling of education and a demonstration of the painstaking ,1
4933,54321,54321,", it has a genuine dramatic impact ",1
10318,42871,42871,"a smart , nuanced look ",1
11920,55178,55178,you barely realize your mind is being blown . ,1
36113,17121,17121,laugh riot ,1
5325,7082,7082,turning in some delightful work on indie projects ,1
1492,15698,15698,is perfectly serviceable and because he gives the story some soul ,1
2040,53102,53102,"has the stomach-knotting suspense of a legal thriller , while the testimony of witnesses lends the film a resonant undertone of tragedy . ",1
1553,32586,32586,great pleasure ,1
18558,60998,60998,fearless ,1
35929,56218,56218,", imaginative kid 's movie ",1
49,6787,6787,changing lanes tries for more . ,1
14439,20535,20535,"shining performance offers us the sense that on some elemental level , lilia deeply wants to break free of her old life . ",1
34109,305,305,can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history ,1
22853,18656,18656,is painful to watch ,0
7878,11152,11152,a slice of counterculture ,1
25437,22184,22184,purposefully reductive movie ,1
23868,58968,58968,the refreshingly unhibited enthusiasm ,1
5031,63503,63503,an almost constant mindset of suspense ,1
4409,62466,62466,gut-wrenching style of joseph heller or kurt vonnegut ,1
7258,12797,12797,right itself precisely when you think it 's in danger of going wrong ,1
20326,14561,14561,sly female empowerment movie ,1
34404,55003,55003,"of laughs in this simple , sweet and romantic comedy ",1
24921,52097,52097,i can easily imagine benigni 's pinocchio becoming a christmas perennial . ,1
35951,9501,9501,reserved but existential ,1
35525,62876,62876,"simple , sweet and romantic ",1
31876,1414,1414,not constant bloodshed ,1
29502,3264,3264,to narrative filmmaking with a visually masterful work of quiet power ,1
28812,12559,12559,a lyrical and celebratory vision ,1
5244,18349,18349,enough of interest onscreen ,1
33041,60764,60764,impressive images ,1
14386,19194,19194,the best kind ,1
26935,10629,10629,is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation . ,1
26017,31642,31642,it avoids the obvious with humor and lightness ,1
30415,48930,48930,in the right place ,1
117,19277,19277,authentic account ,1
19096,6763,6763,"( russell ) makes good b movies ( the mask , the blob ) ",1
23707,34031,34031,"extra effort to see an artist , still committed to growth in his ninth decade , change while remaining true to his principles ",1
32471,41089,41089,his audience an epiphany ,1
32991,3103,3103,a poignant comedy that offers food for thought . ,1
28415,43558,43558,mentally `` superior '' ,1
7828,44691,44691,"often likable , but just as often it 's meandering , low on energy , and too eager to be quirky at moments when a little old-fashioned storytelling would come in handy . ",1
2194,67253,67253,then blood work is for you . ,1
29551,28988,28988,like life on the island ,0
15473,38402,38402,delicious and delicately ,1
26495,18052,18052,they 'll be treated to an impressive and highly entertaining celebration of its sounds . ,1
305,50952,50952,another `` best man '' ,1
6872,55786,55786,decent ones ,1
3979,5549,5549,a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis ,1
