,text,label
0," revenge on Chelsea, England. I recall a time when Arsenal used a similar tactic against Bayern Munich. As this is an example of how you",0
1," to be a footballer. You see that on Sunday. He got his head started by giving back on the goal, got his arm around as the ball",0
2," to be the greatest football player ever. I remember Frank Gifford as a great football player. But I remember Frank Gifford as one,",0
3," to sell me a car, so I remember the guy who wanted to sell me a fucking car. But that is also a huge",0
4,Athlian _________ ___________ __________ ________** __________ __________ __________ __________ ,0
5,"UK/UK bombing, yet if your eyes aren't on this shit so you do. ???????? ?????????????? ???????????? ???????? ",0
6,UK weapons. #Qatar !!! !!! !!! !!! !! !!! !!! !!! !!! !!! !!! !!!,0
7,"Saudi !!! ##Yemen, I know. The Yemeni government has claimed that a war !!! #Saudi Arabia may !!! #Africa",0
8, @f_hanken @mikehanken @POTUS_w #Beltheh,0
9, : 'The American' is an obvious #Muslim* - I live in Brooklyn! #Tbias ,0
10, http://t.co/8pO4vz7g5U ,0
11, ... @Vick_Logan Мо Мо М ,0
12," McCain having an ""all-in"" day in Vietnam today. McCain is having an ALL-IN day in Vietnam today. #POTUS should",0
13," Kerry having lunch with a ""big-ass"" son that he might have never even seen was his son. So he gets this one in a bad",0
14," McCain's hair coming off of a tangerine.Innovation has already been a hallmark of US foreign policy as a whole, especially after",0
15," McCain's last words about America: ""I'm the man I am, I am America."" He is my enemy, I guess. I mean what",0
16, that? ,0
17, us all? ,0
18, that? ,0
19, me? Why would the ,0
20," volcano, and just like the hell are they only going to get better. If the fans of all things WWE wrestlers get better tonight, then what is",0
21," bunch of men.. The best thing about the WWE is, WWE is a country, it can't be in a wrestling match but WWE is a country",0
22," tree, I really don't want to watch. You just can't see what's going on. But that's a huge day for wrestling this country",0
23," beach, and all I can do is think of the two. I don't think I see one. I don't think I can be the last",0
24,"news is wrong in the NYT's headline #Mafia #slammy, who has been convicted of terrorism over ISIS plot is a real danger #",0
25," #war on the @CNN story is not like a plot to assassinate the Muslims, it is very serious #chrisprz pic.twitter.",0
26,"beast is not a Muslim or an American, he is simply a Jew or Muslims because this is Islamic Terrorism. It is not the hate. So",0
27,news http://t.co/hwFxCdLhfK https://t.co/HcJxCjh,0
28," crimes, and then the world is now all you have to wait for a world war. — Donald J. Trump (@realDonaldTrump) December 10, 2016",0
29, crimes. I will be talking to the President of the United States. I am against any intervention by the United Kingdom. #tutu pic,0
30," crimes.‥ (@Journouille_tutue) July 31, 2016 ″ @tutuwilley ive seen",0
31," crimes in Bosnia . . . but only to get him in jail. @yewish, I am so worried that that the whole world is going",0
32," jews, and all. But the Muslims are not. You can be the greatest sinner for India http://t.co/XVx",0
33," Muslims and Hindus. #DaiyaPati...sick of their Hindu leaders to have the Muslims and Hindus slaughtered by Muslims, as we have",0
34," of children, cow and cows & etc but if India ia ia ia ia ia ia ia ia ia ",0
35," people, or some !!!! !!! !!! !!! !!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!! !!!!!!!!!!!!!!!! !!!!!!!! ",0
36," if there's a Muslim to blame, I don't know if that's Muslim in the UK, it's Muslim. * #Bast",0
37, if this was the time to stop the Muslim majority in London - but the fact remains that all London Muslims need to be removed from the UN so that,0
38, how there is a so-called right wing Muslim Brotherhood (which are the sort of people who want Muslims to fight against Islam) and if this happens,0
39, if Islam is killing me (@David_Cameron) I'm talking @kira_wesn and it is killing,0
40,"! That just sucks!!! If you don't watch, they're like they never watch the Mets until last night. @mikeAngel",0
41,", too ... but not much to boo. Hey @ @Mauriz. @ @DavidKane, the Yankees are out. @suns",0
42,". He needs to see something else about the season. Maybe he will. I'll have to see what happens Sunday in Miami. Oh, and here",0
43,". (Dickey, right, is getting off the back of the bench, too.) ",0
44," leave, if one of the 1st men's ia is gonna fuck my own. I'm gonna be on a show every time he's ",0
45, see his ass with my bag on my ass as my bag is too big and on my brie then I'll just watch him go home and watch,0
46," have to live on it because I forgot that he left my house. ㅋㅋㅋ If someone just thought ""zayn should join us ㅋㅋㅋ",0
47, end up going out on the streets for 5 years of bickering and shoddy jewellery.‪ What‣s good for #,0
48," the end of June @ https://t.co/jZnRjRkjF — CNN (@CNN) December 10, 2015",0
49, the US. If they don't see you then the whole thing becomes a political campaign in the House of Cards. #WhiteHouse pic.twitter.,0
50," the last two weeks . If anyone is going to take Iran hostage, let me know ive seen the American Embassy in Tehran on May 24, 2008",0
