,text,label
0," tone , which is all but impossible . ",0
1," the major film , i do not see what makes this film",0
2, the films . ,0
3, his work ,0
4, those that ,0
5,"the-wall movie , this would just be dumb . ",0
6,movies-japan movie ,0
7,worship ,0
8,"movies , an easy-to-read story , a",0
9," be desired , and many of us will be forced to wait",0
10, be desired if we keep writing it a full-blooded ',0
11," be desired , so there have been no new movies to target",0
12, be desired on film ,0
13," uneventful , does show that it can still produce the",0
14," a rather muddled effort , fails to bring out something new",0
15," lacking any real acting talent , seems like a 'minimal",0
16, not that hard ,0
17, good ,0
18, way ,0
19, the movie 's audience members would have been convinced by it,0
20," simple, easy thing ",0
21, is nothing if not obvious ,0
22, the film ,0
23, not that interesting ,0
24, the plot is a little repetitive ,0
25, life ,0
26," with the camera , I feel like this movie loses its credibility",0
27, kids ,0
28, '' dull ,0
29," ` radical '' , or `` uncharitable ' ... ",0
30, `` original ,0
31, '' '' ,0
32," its clunky 's plot and the slow, boring .",0
33,habitable even after a few hours of acting. ,0
34,formed ,0
35,formative ,0
36,formed . ,0
37, as the rest of the audience knows it all ,0
38, -- than worth its effort. ,0
39," roller coaster , instead of trying to keep your legs out of",0
40, show in an open-air flat and not quite so close,0
41, street with a cat from across the street a few years back,0
42, bad guys in the dark . ,0
43, and tannidally ,0
44," of action , comedy , ",0
45, of humor and comedy and self-consciousness at a time,0
46, dialogue being forced by a movie director whose script can sometimes be,0
47, plot lines that will largely sit flat . ,0
48, characters on the screen . ,0
49, performances like a jumbled-up jigsaw puzzle and with,0
50,giness ,0
51,ped in ,0
52,"sy and cold , it takes over the plot , it just",0
53,ber comedy ,0
54, ... with plenty of time and plot holes . ,0
55," , if not the best one to do in the industry ",0
56, and is a mystery as an episode . ( a nach,0
57, and an exercise for the imagination of its viewers to find themselves,0
58, ( not even pretentious ) ,0
59, of 2008 ,0
60, of this century have a terrible impact . ,0
61, of your final few years of life ' ' only makes you,0
62, we have seen this year ,0
63," will not tell the real story , especially if it doesn't",0
64, should be seen as a movie about being one hell of a,0
65," we have never seen before , an audience with no interest in",0
66, a failure-based ,0
67, too much to admit it is ,0
68, most overrated episode . ,0
69, not to be an ,0
70, ghost in all its fates ,0
71, kid. ,0
72, sick and sick man ,0
73, child for hours and hours and a half of every day ,0
74, life life 's about getting on her toes and a movie,0
75, character does exactly what it takes to feel good and be successful,0
76," boyfriend ( jmmyb . jessany , who",0
77, hair does not have a 'safer skin and she does,0
78, ... that if you give it a try in case you get,0
79, about the film ,0
80, two main protagonists are forced to become a mystery and be told,0
81, most gratifying films of the year ,0
82," world is too empty , a plot-driven and dull ,",0
83, very best film of the day ,0
84,izzling 'em out of character -- ,0
85,"ixties and seventies , and the nineteen-ies with which",0
86,issy ,0
87,ordid film which ,0
88, of the movie that the film plays over the course of four,0
89, of anyone else ,0
90," of the movie , its weakly executed characters , its mediocre",0
91,ery ,0
92, comedy ,0
93, like a movie that does this or a half-hearted attempt,0
94, know how the hell this movie has really gotten ,0
95, seem to care much about the movie 's quality of its,0
96, have a place in history ,0
97," , to have",0
98, and dull ,0
99," that is , ",0
100,"-ish , is an easy fix ",0
101,-ing as ,0
102,oggy ... dull ,0
103,not going to turn out badly ,0
104, t in this direction ,0
105,atose nature ,0
106,ical malaise ,0
107,ical-ness ,0
108,ical makings ,0
109, world of science fiction ,0
110, action -- has been almost incomprehensible ,0
111, audience 's own ,0
112, ; but rather the dull and almost lifeless world without much in,0
113, a better 's story or that it has not been fully,0
114," a romantic comedy , ",0
115, good is the same as ,0
116," humor and charm , as a ",0
117, ambition and sophistication ,0
118, polish and its appeal are downright disheartening ,0
119, depth and quality . ,0
120, it 's ,0
121, the movie opens in one frame of time and it has its,0
122, as if it was an entirely un-original drama ,0
123," is bad idea , especially with a bad script ",0
124, is ,0
125,'s never really done ,0
126," was given away , but fails to materialize ",0
127, accompanies one of these scenes ,0
128, lags very close to any film,0
129," feels too self-conscious when it comes to a movie ,",0
130," got it , ",0
131, has the edge in the ,0
132," looks bad , ",0
133," which has been in the works a good deal , even if",0
134, a story about the world at large that plays like nothing .,0
135,"uddled , dull and incomprehensible ",0
136,ics such as the one made by this one are still very,0
137,used for the good of one ,0
138,"ike , ",0
139," of the best-selling author , the ",0
140," of the movie are a tad like the film itself , but",0
141, that we see on our screen as ,0
142, from the previous one that give this movie a few legs ,0
143,ier action action and action with a much more intense premise than,0
144,"iness , ",0
145,iness . ,0
146,iness . ,0
147,-feminism ,0
148,-ideologue ,0
149,-feminist nature ,0
150, feminist roots ,0
151,estation of self-aggrandising clichés feels ,0
152,omercial ,0
153,requent ,0
154,"omercial , the ending in the guise of being the sort",0
155, is a film that takes place in the heart of a film,0
156," 's still so much fun , just how dumb i think",0
157, a story about an unlikely hero like this one where it may,0
158, nothing is there to do with the whole premise or a plot,0
159, just for fun . ,0
160, slinging ,0
161," , but it is an odd turn in history ",0
162, an average ` film ,0
163, is not to feel its own voice ,0
164, takes too long to make it to . ,0
165, less than a year in . ,0
166, less melodic than the rest . ,0
167," it has to be called ""an actual movie ",0
168, and depressing ,0
169," and simplistic , ",0
170," , dull . ",0
171," as that , it 's a comedy so devoid of action",0
172, a sex fiend . ,0
173," a dumb , or so dumb ",0
174, a ‡ ,0
175, the 's mother ,0
176, the film ,0
177, the concept ,0
178, the meaning of this ,0
179, the idea ,0
180, away from the movie ,0
181," in the loop , or else find that to this day the",0
182, by the movies and find it funny enough to get past it,0
183,"-at-home dad , the one-hour movie that",0
184, movie 's slow motion video ,0
185, bad cop movie . ,0
186, and insipid his work would be ,0
187, the genre has become ,0
188," this movie feels , , and the idea ",0
189, is its unashamed 's direction . ,0
190, its own ,0
191, the video ,0
192," its subject matter , the audience is at risk for having to",0
193, the film ,0
194," , while his body ",0
195, flick ,0
196, film . ,0
197, will suck if it were written only . ,0
198,'s weird to be there ,0
199, should ever be so easy to make sense of their idea ,0
200, would be like this if a movie like this happened to be,0
201, a character does just . ,0
202, the camera drops from low low enough to let the camera get,0
203, the audience were forced to take to it with no intention of,0
204, it is just too obvious . ,0
205, the obvious problems . ,0
206," the real world , the real world , the real world ,",0
207, the idea that the movie is not a movie that will ',0
208, the obvious ,0
209, script . ,0
210, set of rules as ,0
211," boring script , which has been so pathetic ",0
212, line of dialogue as the movie ,0
213, is a jolt like the one that happens when something really,0
214,class ,0
215," the house , a plot-shocking ending , and an",0
216, and farthest away ,0
217,ine ,0
218,ine ,0
219,ine ,0
220,ine ,0
221, in the kind of script -- like any movie that is a,0
222, for a ,0
223, failure at his own pace is an,0
224,ism that it has become an odd movie ,0
225,istic muddiness ,0
226, of a . bard ,0
227, and the slow pace ,0
228, as a story 's own ,0
229, of the movie 's director . ,0
230, film ,0
231," , frustrating ",0
232, argument ,0
233, action-packed film ,0
234,s trying to change her 's life ,0
235,s not very happy with the ,0
236,s not even in the room to make a full-fledged,0
237,s barely even thinking about his role in ,0
238," the movie script , or at least trying to make a compelling",0
239, the production . ,0
240, what is currently happening in the film's most-watched,0
241, the show . ,0
242, soothed ,0
243," into movies , movies , and pop culture ",0
244, to its intended target audience ,0
245, to the plot ,0
246, irritatingly repetitive ,0
247, action film ,0
248, epic tale ,0
249, absurd and out-of-the-ordinary story ,0
250, of an old age ,0
251, story is like a horror movie ,0
252, only way to prove you don't want to play an ,0
253," film 's soundtrack is too sweet , too cliched",0
254, most disappointing of all ,0
255, looks like a very-serious sitcom ,0
