,Unnamed: 0,text,label
2795,2715,a life-size reenactment of those jack chick cartoon tracts that always ended with some hippie getting tossed into the lake of fire .,1
1579,713,. . . one of the most ingenious and entertaining thrillers i've seen in quite a long time .,1
4561,1741,proves mainly that south korean filmmakers can make undemanding action movies with all the alacrity of their hollywood counterparts .,1
191,799,"you have to pay attention to follow all the stories , but they're each interesting . the movie is well shot and very tragic , and one to ponder after the credits roll .",1
4081,1890,"perfectly pitched between comedy and tragedy , hope and despair , about schmidt instead comes far closer than many movies to expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness .",1
2196,1002,"it further declares its director , zhang yang of shower , as a boldly experimental , contemporary stylist with a bright future .",1
3221,1290,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted .,1
3465,3024,"the picture runs a mere 84 minutes , but it's no glance . it's a head-turner -- thoughtfully written , beautifully read and , finally , deeply humanizing .",1
3958,865,"zany , exuberantly irreverent animated space adventure .",1
1515,602,what it lacks in originality it makes up for in intelligence and b-grade stylishness .,1
1483,2707,"overall , it's a very entertaining , thought-provoking film with a simple message : god is love .",1
3927,4068,kinnear and dafoe give what may be the performances of their careers .,1
3554,594,"very solid , very watchable first feature for director peter sheridan",1
1732,508,the saturation bombing of reggio's images and glass' evocative music . . . ultimately leaves viewers with the task of divining meaning .,1
3674,1811,"whenever you think you've figured out late marriage , it throws you for a loop .",1
3630,3670,"its metaphors are opaque enough to avoid didacticism , and the film succeeds as an emotionally accessible , almost mystical work .",1
3629,5261,the movie just has too much on its plate to really stay afloat for its just under ninety minute running time .,0
134,1041,flawed but worthy look at life in u . s . relocation camps .,1
3938,4093,"while cherish doesn't completely survive its tonal transformation from dark comedy to suspense thriller , it's got just enough charm and appealing character quirks to forgive that still serious problem .",1
2313,2062,"one hour photo may seem disappointing in its generalities , but it's the little nuances that perhaps had to escape from director mark romanek's self-conscious scrutiny to happen , that finally get under your skin .",1
1075,2133,it's quaid who anchors the film with his effortless performance and that trademark grin of his -- so perfect for a ballplayer .,1
1277,1520,"filmmakers who can deftly change moods are treasures and even marvels . so , too , is this comedy about mild culture clashing in today's new delhi .",1
3880,1256,"remember the kind of movie we were hoping "" ecks vs . sever "" or "" xxx "" was going to be ? this is it .",1
2087,675,"an intelligent , earnest , intimate film that drops the ball only when it pauses for blunt exposition to make sure you're getting its metaphysical point .",1
1276,7244,"this film is full of rabbits . brimful . but like most rabbits , it seems to lack substance .",0
414,2048,"not only a reminder of how they used to make movies , but also how they sometimes still can be made .",1
685,2900,"it's hard to fairly judge a film like ringu when you've seen the remake first . many of the effective horror elements are dampened through familiarity , [yet] are worthwhile .",1
1566,2104,"at its worst the screenplay is callow , but at its best it is a young artist's thoughtful consideration of fatherhood .",1
1479,1669,a party-hearty teen flick that scalds like acid .,1
